"","annotid","n","ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","id","subj","month","SubjectNumber","audio_video","tier"
"1","0x084cde",2,NA,36176710,36178140,"cracker","d","y","SIS","cracker","10_16_audio_sparse_code.csv","10","16","10_16","audio",NA
"2","0x084cde",2,NA,42462500,42463500,"doggies","d","y","FAT","doggy","20_17_audio_sparse_code.csv","20","17","20_17","audio",NA
"3","0x0acb21",2,NA,32592480,32594670,"cheese","d","n","FAT","cheese","46_16_audio_sparse_code.csv","46","16","46_16","audio",NA
"4","0x0acb21",2,NA,19169110,19171300,"lawn+mowers","d","u","GRM","mower","11_14_audio_sparse_code.csv","11","14","11_14","audio",NA
"5","0x0b53f7",2,146,2360210,2365686,"head","s","y","SIS","head","45_16_video_sparse_code.csv","45","16","45_16","video",NA
"6","0x0b53f7",2,NA,27657840,27658870,"turkey","d","n","MOT","turkey","12_12_audio_sparse_code.csv","12","12","12_12","audio",NA
"7","0x0e8916",2,NA,36805680,36807630,"ice+cream","n","y","FAT","ice+cream","29_16_audio_sparse_code.csv","29","16","29_16","audio",NA
"8","0x0e8916",2,NA,39499230,39500230,"book","q","n","MOT","book","17_15_audio_sparse_code.csv","17","15","17_15","audio",NA
"9","0x0f3d22",2,NA,5120350,5121350,"shirt","i","y","MOT","shirt","25_09_audio_sparse_code.csv","25","09","25_09","audio",NA
"10","0x0f3d22",2,NA,20732600,20734960,"water","d","n","MOT","water","20_11_audio_sparse_code.csv","20","11","20_11","audio",NA
"11","0x12420d",2,NA,41400550,41402170,"buckles","n","n","MOT","buckle","15_12_audio_sparse_code.csv","15","12","15_12","audio",NA
"12","0x12420d",2,NA,17495050,17497160,"snake","n","y","MOT","snake","14_16_audio_sparse_code.csv","14","16","14_16","audio",NA
"13","0x128550",2,NA,14485730,14486570,"chair","d","y","SI2","chair","04_16_audio_sparse_code.csv","04","16","04_16","audio",NA
"14","0x128550",2,NA,202260,203550,"computer","q","n","MOT","computer","45_13_audio_sparse_code.csv","45","13","45_13","audio",NA
"15","0x1353c7",2,NA,35988270,35989270,"onion","d","n","MOT","onion","35_12_audio_sparse_code.csv","35","12","35_12","audio",NA
"16","0x1353c7",2,NA,3030910,3031710,"water","q","n","BR2","water","23_16_audio_sparse_code.csv","23","16","23_16","audio",NA
"17","0x212900",2,NA,17886430,17887750,"m","n","y","GRM","m","09_17_audio_sparse_code.csv","09","17","09_17","audio",NA
"18","0x212900",2,NA,37964640,37967250,"beachy","n","n","MOT","beach","41_07_audio_sparse_code.csv","41","07","41_07","audio",NA
"19","0x2403be",2,NA,10605460,10607240,"towel","d","n","MOT","towel","04_07_audio_sparse_code.csv","04","07","04_07","audio",NA
"20","0x2403be",2,NA,34401320,34403090,"piggo","d","n","MOT","pig","02_16_audio_sparse_code.csv","02","16","02_16","audio",NA
"21","0x29276e",2,NA,28187860,28188860,"leash","q","n","MOT","leash","09_09_audio_sparse_code.csv","09","09","09_09","audio",NA
"22","0x29276e",2,NA,40147400,40148380,"gazelle","q","y","BRO","gazelle","15_16_audio_sparse_code.csv","15","16","15_16","audio",NA
"23","0x2af51c",2,NA,17340590,17341550,"C+three+p+o","q","y","FAT","C+three+p+o","13_16_audio_sparse_code.csv","13","16","13_16","audio",NA
"24","0x2af51c",2,NA,30164580,30169050,"ear","d","y","FCO","ear","12_14_audio_sparse_code.csv","12","14","12_14","audio",NA
"25","0x2d31c6",2,NA,37848310,37850240,"dust","d","n","GP2","dust","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"26","0x2d31c6",2,NA,41868500,41872720,"grasses","r","y","MOT","grass","15_16_audio_sparse_code.csv","15","16","15_16","audio",NA
"27","0x2e3f9e",2,NA,36224590,36226220,"garlic","d","y","MOT","garlic","10_16_audio_sparse_code.csv","10","16","10_16","audio",NA
"28","0x2e3f9e",2,NA,5292500,5300210,"dresses","d","n","MOT","dress","30_16_audio_sparse_code.csv","30","16","30_16","audio",NA
"29","0x2e9631",2,NA,32559990,32564810,"walker","d","n","FAT","walker","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"30","0x2e9631",2,NA,4253500,4256680,"clothes","d","n","MOT","clothes","16_08_audio_sparse_code.csv","16","08","16_08","audio",NA
"31","0x32598e",2,NA,20353600,20354980,"phone","q","y","SIS","phone","14_12_audio_sparse_code.csv","14","12","14_12","audio",NA
"32","0x32598e",2,NA,32864700,32866350,"watermelon","d","y","GP2","watermelon","46_16_audio_sparse_code.csv","46","16","46_16","audio",NA
"33","0x351823",2,NA,25399590,25401400,"shoes","d","n","GRM","shoe","08_12_audio_sparse_code.csv","08","12","08_12","audio",NA
"34","0x351823",2,NA,21167840,21169560,"water","d","y","GRM","water","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"35","0x37190e",2,NA,36584800,36585870,"bear","q","n","FAT","bear","35_14_audio_sparse_code.csv","35","14","35_14","audio",NA
"36","0x37190e",2,NA,14348400,14352620,"tummy","d","n","MOT","tummy","14_16_audio_sparse_code.csv","14","16","14_16","audio",NA
"37","0x395120",2,NA,37715150,37717780,"remote","q","n","MOT","remote","10_16_audio_sparse_code.csv","10","16","10_16","audio",NA
"38","0x395120",2,NA,33485750,33486790,"door","s","n","MOT","door","31_09_audio_sparse_code.csv","31","09","31_09","audio",NA
"39","0x3a1e8f",2,NA,23993520,23994710,"truck","q","y","MOT","truck","27_13_audio_sparse_code.csv","27","13","27_13","audio",NA
"40","0x3a1e8f",2,NA,270750,273790,"bag","q","n","BR1","bag","13_16_audio_sparse_code.csv","13","16","13_16","audio",NA
"41","0x3ed164",2,NA,5562920,5564000,"Captain+elmo","i","y","TOY","Elmo","16_12_audio_sparse_code.csv","16","12","16_12","audio",NA
"42","0x3ed164",2,NA,20486490,20487440,"diaper","d","n","MOT","diaper","43_09_audio_sparse_code.csv","43","09","43_09","audio",NA
"43","0x3f417b",2,257,3169587,3171686,"cat+shoes","q","n","MOT","shoe","10_15_video_sparse_code.csv","10","15","10_15","video",NA
"44","0x3f417b",2,NA,2315290,2316410,"jammies","d","n","CHI","jammies","01_17_audio_sparse_code.csv","01","17","01_17","audio",NA
"45","0x44000b",2,NA,19608080,19608950,"napkin","n","y","GRM","napkin","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"46","0x44000b",2,NA,4834260,4835940,"bow","q","y","MOT","bow","36_06_audio_sparse_code.csv","36","06","36_06","audio",NA
"47","0x481371",2,NA,39958490,39962360,"lettuce","d","n","MOT","lettuce","17_15_audio_sparse_code.csv","17","15","17_15","audio",NA
"48","0x481371",2,NA,13866850,13871480,"blanky","d","n","MOT","blanky","18_15_audio_sparse_code.csv","18","15","18_15","audio",NA
"49","0x487d65",2,NA,41700260,41701350,"choo+choo+train","n","y","SI2","train","36_14_audio_sparse_code.csv","36","14","36_14","audio",NA
"50","0x487d65",2,NA,1957160,1959450,"green+pepper","r","y","FAT","pepper","35_13_audio_sparse_code.csv","35","13","35_13","audio",NA
"51","0x4ba29a",2,NA,17565260,17571540,"cow","r","y","AMB","cow","41_15_audio_sparse_code.csv","41","15","41_15","audio",NA
"52","0x4ba29a",2,NA,47874010,47876110,"necklace","d","n","MOT","necklace","23_15_audio_sparse_code.csv","23","15","23_15","audio",NA
"53","0x4d7846",2,NA,20878190,20880910,"book","q","y","MOT","book","29_13_audio_sparse_code.csv","29","13","29_13","audio",NA
"54","0x4d7846",2,NA,30181280,30183840,"bus","d","y","MOT","bus","40_16_audio_sparse_code.csv","40","16","40_16","audio",NA
"55","0x50e663",2,29,291698,292000,"baby","q","y","MOT","baby","35_14_video_sparse_code.csv","35","14","35_14","video",NA
"56","0x50e663",2,NA,35370130,35371960,"toes","s","n","TOY","toe","04_07_audio_sparse_code.csv","04","07","04_07","audio",NA
"57","0x516b18",2,NA,1684370,1684980,"ants","s","n","TVN","ant","14_14_audio_sparse_code.csv","14","14","14_14","audio",NA
"58","0x516b18",2,170,3070300,3071505,"leg","d","y","MOT","leg","25_14_video_sparse_code.csv","25","14","25_14","video",NA
"59","0x549a57",2,NA,11356470,11357680,"coffee+pot","d","y","MOT","coffee+pot","31_12_audio_sparse_code.csv","31","12","31_12","audio",NA
"60","0x549a57",2,62,624815,625930,"mouth","d","n","MOT","mouth","44_14_video_sparse_code.csv","44","14","44_14","video",NA
"61","0x562415",2,NA,647010,648390,"book","d","y","MOT","book","19_06_audio_sparse_code.csv","19","06","19_06","audio",NA
"62","0x562415",2,251,2368879,2369994,"Noodle","r","y","MOT","Noodle","41_14_video_sparse_code.csv","41","14","41_14","video",NA
"63","0x58a964",2,155,1894070,1895620,"cheese","q","n","MT2","cheese","27_13_video_sparse_code.csv","27","13","27_13","video",NA
"64","0x58a964",2,233,1848469,1851196,"hat","d","y","FAT","hat","33_08_video_sparse_code.csv","33","08","33_08","video",NA
"65","0x5a47e0",2,199,1641622,1645361,"ice+cream","s","y","TVN","ice+cream","44_16_video_sparse_code.csv","44","16","44_16","video",NA
"66","0x5a47e0",2,NA,24303390,24305280,"toes","q","y","MOT","toe","28_06_audio_sparse_code.csv","28","06","28_06","audio",NA
"67","0x5b6a98",2,NA,32452450,32456510,"map","i","y","MOT","map","43_15_audio_sparse_code.csv","43","15","43_15","audio",NA
"68","0x5b6a98",2,NA,45915050,45918480,"bus+driver","d","y","MOT","driver","01_10_audio_sparse_code.csv","01","10","01_10","audio",NA
"69","0x5d6c08",2,NA,32450330,32451330,"sunglasses","d","y","FAT","sunglasses","21_09_audio_sparse_code.csv","21","09","21_09","audio",NA
"70","0x5d6c08",2,NA,42467910,42468990,"teeth","i","n","MOT","tooth","10_09_audio_sparse_code.csv","10","09","10_09","audio",NA
"71","0x5d895f",2,NA,30797710,30798260,"hand","d","y","MOT","hand","43_06_audio_sparse_code.csv","43","06","43_06","audio",NA
"72","0x5d895f",2,NA,39951970,39952810,"bottle","d","y","SIS","bottle","02_16_audio_sparse_code.csv","02","16","02_16","audio",NA
"73","0x63a136",2,NA,30607390,30608240,"pants","d","n","MOT","pants","30_07_audio_sparse_code.csv","30","07","30_07","audio",NA
"74","0x63a136",2,279,2280623,2283350,"books","q","n","MOT","book","42_14_video_sparse_code.csv","42","14","42_14","video",NA
"75","0x64e8c5",2,151,1435234,1436381,"river","r","y","MOT","river","02_11_video_sparse_code.csv","02","11","02_11","video",NA
"76","0x64e8c5",2,NA,29410790,29412180,"hands","i","n","MOT","hand","17_14_audio_sparse_code.csv","17","14","17_14","audio",NA
"77","0x67c8c9",2,NA,32541250,32542710,"milk","d","n","MOT","milk","25_06_audio_sparse_code.csv","25","06","25_06","audio",NA
"78","0x67c8c9",2,NA,22617930,22619350,"journal","q","n","BR1","journal","04_16_audio_sparse_code.csv","04","16","04_16","audio",NA
"79","0x6b8871",2,81,1688964,1689964,"cakes","d","n","MOT","cake","04_16_video_sparse_code.csv","04","16","04_16","video",NA
"80","0x6b8871",2,84,2617577,2624479,"apples","s","n","MOT","apples","07_11_video_sparse_code.csv","07","11","07_11","video",NA
"81","0x6ffccb",2,NA,4356410,4360300,"balloon","d","y","SIS","balloon","01_13_audio_sparse_code.csv","01","13","01_13","audio",NA
"82","0x6ffccb",2,NA,6148600,6150630,"bridge","r","y","MOT","bridge","03_06_audio_sparse_code.csv","03","06","03_06","audio",NA
"83","0x717463",2,NA,27068730,27070790,"slide","d","y","MOT","slide","42_16_audio_sparse_code.csv","42","16","42_16","audio",NA
"84","0x717463",2,NA,28707580,28709040,"driveway","d","y","MOT","driveway","01_11_audio_sparse_code.csv","01","11","01_11","audio",NA
"85","0x7253c1",2,220,1987889,1988384,"book","n","y","MOT","book","41_14_video_sparse_code.csv","41","14","41_14","video",NA
"86","0x7253c1",2,NA,39818890,39819690,"door","i","y","SIS","door","18_10_audio_sparse_code.csv","18","10","18_10","audio",NA
"87","0x727f55",2,NA,2641300,2643450,"Ninja+turtle","d","n","MOT","turtle","26_06_audio_sparse_code.csv","26","06","26_06","audio",NA
"88","0x727f55",2,NA,41139430,41141540,"mac+and+cheese","n","n","MOT","mac+and+cheese","21_16_audio_sparse_code.csv","21","16","21_16","audio",NA
"89","0x731015",2,176,3024132,3025371,"package","d","n","FAT","package","23_13_video_sparse_code.csv","23","13","23_13","video",NA
"90","0x731015",2,NA,32973790,32974710,"doggy","n","n","CHI","doggy","20_16_audio_sparse_code.csv","20","16","20_16","audio",NA
"91","0x73ffca",2,NA,18739150,18739770,"waffles","s","n","BRO","waffles","38_16_audio_sparse_code.csv","38","16","38_16","audio",NA
"92","0x73ffca",2,NA,30489910,30493010,"hippopotamus","r","y","MOT","hippopotamus","19_13_audio_sparse_code.csv","19","13","19_13","audio",NA
"93","0x7a2506",2,NA,31139490,31142080,"baby+monitor","d","n","FAT","baby+monitor","07_16_audio_sparse_code.csv","07","16","07_16","audio",NA
"94","0x7a2506",2,NA,37660570,37662430,"duckies","d","y","MOT","ducky","29_15_audio_sparse_code.csv","29","15","29_15","audio",NA
"95","0x7b6ef2",2,92,608441,609308,"book","n","y","MOT","book","42_14_video_sparse_code.csv","42","14","42_14","video",NA
"96","0x7b6ef2",2,NA,1257620,1259030,"bacon","q","n","MOT","bacon","29_17_audio_sparse_code.csv","29","17","29_17","audio",NA
"97","0x803f91",2,137,2202303,2204001,"racecar","d","y","FAT","car","11_15_video_sparse_code.csv","11","15","11_15","video",NA
