"ordinal","onset","offset","object","utterance_type","object_present","speaker","basic_level","annotid","id","subj","month","SubjectNumber","audio_video","tier"
NA,2588230,2591780,"van","d","n","MOT","van","0x01ca8e","39_07_audio_sparse_code.csv","39","07","39_07","audio","*FAN"
NA,5338080,5341070,"teeth","i","y","MOT","tooth","0x01ca8e","42_15_audio_sparse_code.csv","42","15","42_15","audio","*FAN"
NA,47757940,47758740,"arms","q","y","FAT","arm","0x081c24","33_14_audio_sparse_code.csv","33","14","33_14","audio","*MAF"
NA,23308820,23311440,"hashbrowns","n","n","MOT","hashbrowns","0x081c24","09_15_audio_sparse_code.csv","09","15","09_15","audio","*OLF"
200,983423,984323,"Blue+horse","r","n","MOT","horse","0x0bc103","42_14_video_sparse_code.csv","42","14","42_14","video",NA
NA,46783120,46787200,"babies","i","y","MOT","baby","0x0bc103","33_09_audio_sparse_code.csv","33","09","33_09","audio","*FAN"
NA,684860,686670,"tooth","q","n","BRO","tooth","0x0cb94c","44_12_audio_sparse_code.csv","44","12","44_12","audio","*CXN"
NA,18632160,18633420,"bobcats","d","n","GRF","bobcat","0x0cb94c","09_14_audio_sparse_code.csv","09","14","09_14","audio","*OLF"
273,3527841,3529041,"crown","d","n","SIS","crown","0x10281c","10_15_video_sparse_code.csv","10","15","10_15","video",NA
163,2608947,2612472,"Ovejita","i","y","TVN","Ovejita","0x10281c","09_17_video_sparse_code.csv","09","17","09_17","video",NA
23,139939,140941,"roller","d","n","MOT","roller","0x15b0d0","39_14_video_sparse_code.csv","39","14","39_14","video",NA
NA,32033350,32036640,"pony","s","n","GRA","pony","0x15b0d0","43_10_audio_sparse_code.csv","43","10","43_10","audio","*FAN"
61,988278,989978,"book","d","n","MOT","book","0x1932d4","32_14_video_sparse_code.csv","32","14","32_14","video",NA
NA,4388250,4389210,"creamer","n","n","FAT","creamer","0x1932d4","21_10_audio_sparse_code.csv","21","10","21_10","audio","*OLN"
464,3426269,3428842,"cement","r","y","MOT","cement","0x1ea7c5","33_11_video_sparse_code.csv","33","11","33_11","video",NA
